key,value,date
Alice Agogino,0,2006
Alice Agogino,0,2007
Alice Agogino,0,2008
Alice Agogino,0,2009
Alice Agogino,0,2010
Alice Agogino,0,2011
Alice Agogino,0,2012
Judy M Vance,2.0,2002
Judy M Vance,0,2003
Judy M Vance,0,2004
Judy M Vance,0,2005
Judy M Vance,0,2006
Judy M Vance,0,2007
Judy M Vance,0,2008
Judy M Vance,1.0,2009
Judy M Vance,0,2010
Judy M Vance,0,2011
Judy M Vance,0,2012
Masataka Yoshimura,2.0,2002
Masataka Yoshimura,2.0,2003
Masataka Yoshimura,3.0,2004
Masataka Yoshimura,3.0,2005
Masataka Yoshimura,2.0,2006
Masataka Yoshimura,3.0,2007
Masataka Yoshimura,3.0,2008
Masataka Yoshimura,3.0,2009
Masataka Yoshimura,0,2010
Masataka Yoshimura,0,2011
Masataka Yoshimura,0,2012
Sara McMains,1.0,2002
Sara McMains,0,2003
Sara McMains,0,2004
Sara McMains,1.0,2005
Sara McMains,1.0,2006
Sara McMains,1.0,2007
Sara McMains,0,2008
Sara McMains,1.0,2009
Sara McMains,0,2010
Sara McMains,0,2011
Sara McMains,0,2012
Carolyn Conner Seepersad,1.0,2002
Carolyn Conner Seepersad,1.0,2003
Carolyn Conner Seepersad,1.0,2004
Carolyn Conner Seepersad,1.0,2005
Carolyn Conner Seepersad,2.0,2006
Carolyn Conner Seepersad,0,2007
Carolyn Conner Seepersad,0,2008
Carolyn Conner Seepersad,0,2009
Carolyn Conner Seepersad,0,2010
Carolyn Conner Seepersad,0,2011
Carolyn Conner Seepersad,0,2012
Panos Y Papalambros,3.0,2002
Panos Y Papalambros,2.0,2003
Panos Y Papalambros,2.0,2004
Panos Y Papalambros,6.0,2005
Panos Y Papalambros,4.0,2006
Panos Y Papalambros,4.0,2007
Panos Y Papalambros,2.0,2008
Panos Y Papalambros,1.0,2009
Panos Y Papalambros,4.0,2010
Panos Y Papalambros,2.0,2011
Panos Y Papalambros,2.0,2012
