Michael Kokkolaras,1.0,2004 
Michael Kokkolaras,3.0,2005 
Michael Kokkolaras,2.0,2006 
Michael Kokkolaras,1.0,2007 
Michael Kokkolaras,1.0,2010 
Michael Kokkolaras,1.0,2011 
Michael Kokkolaras,1.0,2012 
Michael Kokkolaras,1.0,2013 
Michael Kokkolaras,2.0,2014 
Michele Germani,1.0,2007 
Michele Germani,2.0,2009 
Michele Germani,1.0,2010 
Michele Germani,1.0,2011 
Michele Germani,1.0,2012 
Michele Germani,1.0,2013 
P. K. Kannan,1.0,2004 
P. K. Kannan,1.0,2006 
P. K. Kannan,1.0,2008 
P. K. Kannan,1.0,2010 
P. K. Kannan,2.0,2011 
P. K. Kannan,1.0,2014 
Panos Y. Papalambros,2.0,2002 
Panos Y. Papalambros,2.0,2003 
Panos Y. Papalambros,2.0,2004 
Panos Y. Papalambros,5.0,2005 
Panos Y. Papalambros,4.0,2006 
Panos Y. Papalambros,2.0,2007 
Panos Y. Papalambros,1.0,2008 
Panos Y. Papalambros,4.0,2010 
Panos Y. Papalambros,2.0,2011 
Panos Y. Papalambros,2.0,2012 
Panos Y. Papalambros,2.0,2013 
Panos Y. Papalambros,3.0,2014 
Pingfeng Wang,2.0,2007 
Pingfeng Wang,1.0,2008 
Pingfeng Wang,1.0,2011 
Pingfeng Wang,5.0,2012 
Pingfeng Wang,6.0,2013 
Pingfeng Wang,6.0,2014 
Po Ting Lin,1.0,2008 
Po Ting Lin,1.0,2009 
Po Ting Lin,1.0,2010 
Po Ting Lin,1.0,2011 
Po Ting Lin,1.0,2012 
Po Ting Lin,2.0,2014 
Rahul Rai,1.0,2002 
Rahul Rai,1.0,2006 
Rahul Rai,1.0,2007 
Rahul Rai,1.0,2011 
Rahul Rai,1.0,2012 
Rahul Rai,1.0,2013 
Rahul Rai,1.0,2014 
Raphael T. Haftka,1.0,2003 
Raphael T. Haftka,2.0,2005 
Raphael T. Haftka,2.0,2007 
Raphael T. Haftka,1.0,2008 
Raphael T. Haftka,1.0,2009 
Raphael T. Haftka,1.0,2010 
Raphael T. Haftka,1.0,2011 
Robert B. Stone,1.0,2004 
Robert B. Stone,2.0,2005 
Robert B. Stone,5.0,2006 
Robert B. Stone,1.0,2010 
S. Azarm,2.0,2002 
S. Azarm,2.0,2003 
S. Azarm,3.0,2004 
S. Azarm,1.0,2006 
S. Azarm,1.0,2008 
S. Azarm,3.0,2009 
S. Azarm,2.0,2010 
S. Azarm,2.0,2011 
S. Azarm,1.0,2012 
Sayed M. Metwalli,1.0,2002 
Sayed M. Metwalli,1.0,2003 
Sayed M. Metwalli,2.0,2005 
Sayed M. Metwalli,2.0,2007 
Sayed M. Metwalli,1.0,2008 
Sayed M. Metwalli,1.0,2009 
Sayed M. Metwalli,1.0,2010 
Sayed M. Metwalli,1.0,2011 
Sayed M. Metwalli,2.0,2012 
Sayed M. Metwalli,1.0,2013 
Sayed M. Metwalli,1.0,2014 
Scott Ferguson,1.0,2005 
Scott Ferguson,1.0,2007 
Scott Ferguson,1.0,2009 
Scott Ferguson,2.0,2010 
Scott Ferguson,4.0,2011 
Scott Ferguson,1.0,2012 
Scott Ferguson,3.0,2013 
Scott Ferguson,1.0,2014 
Seung Ki Moon,1.0,2006 
Seung Ki Moon,2.0,2007 
Seung Ki Moon,1.0,2008 
Seung Ki Moon,2.0,2009 
Seung Ki Moon,1.0,2010 
Seung Ki Moon,1.0,2011 
Seung Ki Moon,1.0,2012 
Seung Ki Moon,1.0,2013 
Seung Ki Moon,2.0,2014 
Seung-Kyum Choi,2.0,2009 
Seung-Kyum Choi,2.0,2010 
Seung-Kyum Choi,1.0,2012 
Seung-Kyum Choi,1.0,2013 
Seung-Kyum Choi,2.0,2014 
Shinji Nishiwaki,2.0,2003 
Shinji Nishiwaki,3.0,2004 
Shinji Nishiwaki,3.0,2005 
Shinji Nishiwaki,2.0,2006 
Shinji Nishiwaki,3.0,2007 
Shinji Nishiwaki,4.0,2008 
Shinji Nishiwaki,2.0,2009 
